id;parent;title;subTitle;imageUrl;description;country;code;status
30;Footwear;Party Cheppal;Available (120);https://naarideals.s3.amazonaws.com/categories/Indian-Shoes.png;Party Cheppal;usa;PARTY-HEALS;active
27;Footwear;Sandals;Available (120);https://naarideals.s3.amazonaws.com/categories/Sandals.png;Sandals;usa;SANDALS;active
26;Footwear;Casual Shoes;Available (120);https://naarideals.s3.amazonaws.com/categories/Casual-Shoes.png;Casual Shoes;usa;CASUAL-SHOES;active
28;Footwear;Boots;Available (120);https://naarideals.s3.amazonaws.com/categories/Boots.png;Boots;usa;BOOTS;active
29;Footwear;Heels;Available (120);https://naarideals.s3.amazonaws.com/categories/Heels.png;Heels;usa;HEALS;active
31;Jewelry;Necklaces;Available (120);https://naarideals.s3.amazonaws.com/categories/Necklace.jpeg;Necklaces;usa;NECKLACES;active
36;Jewelry;Other Jewelry;Available (120);https://naarideals.s3.amazonaws.com/categories/Other-Jewelry.png;Other Jewelry;usa;ANKLETS;active
34;Jewelry;Rings;Available (120);https://naarideals.s3.amazonaws.com/categories/Rings.png;Rings;usa;RINGS;active
33;Jewelry;Earrings;Available (120);https://naarideals.s3.amazonaws.com/categories/Earrings.png;Earrings;usa;EARRINGS;active
35;Jewelry;"Bangles; Bracelets";Available (120);https://naarideals.s3.amazonaws.com/categories/Bangles.png;"Bangles; Bracelets";usa;BANGLETS;active
32;Jewelry;Necklace Sets;Available (120);https://naarideals.s3.amazonaws.com/categories/Necklace-Set.jpeg;Necklace Sets;usa;NECKSETS;active
37;Accesories;Hats;Available (120);https://naarideals.s3.amazonaws.com/categories/Hats.png;Hats;usa;HATS;active
38;Accesories;Sunglasses;Available (120);https://naarideals.s3.amazonaws.com/categories/Sunglasses.png;Sunglasses;usa;SUNGLASS;active
39;Accesories;Socks;Available (120);https://naarideals.s3.amazonaws.com/categories/Socks.png;Socks;usa;SOCKS;active
40;Accesories;Belts;Available (120);https://naarideals.s3.amazonaws.com/categories/Belts.png;Belts;usa;BELTS;active
41;Accesories;Hair Accesories;Available (120);https://naarideals.s3.amazonaws.com/categories/Hair-Accesories.png;Hair Accesories;usa;HAIRACCESS;active
42;Accesories;Handbags;Available (120);https://naarideals.s3.amazonaws.com/categories/Handbags.png;Handbags;usa;HANDBAGS;active
