id;parent;title;sub_title;image_url;description;country;code;status
14;Clothing;Jackets;Available (120);https://images.unsplash.com/photo-1499013819532-e4ff41b00669?ixlib=rb-0.3.5&s=976794f0c5d7239a69cfacb3d3f86c3b&auto=format&fit=crop&w=500&q=80;Jackets;usa;JACKETS;active
15;Clothing;Night Wear;Available (120);https://images.unsplash.com/photo-1459204195697-4de88edf3ab1?ixlib=rb-0.3.5&s=11e2623667499f18828709399500a7c1&auto=format&fit=crop&w=900&q=80;Night Wear;usa;NIGHTWEAR;active
16;Clothing;Inner Wear;Available (120);https://images.unsplash.com/photo-1499951360447-b19be8fe80f5?ixlib=rb-0.3.5&s=a8ef3fd4a48693a0620b614a6209b687&auto=format&fit=crop&w=750&q=80;Inner Wear;usa;INNERWEAR;active
17;Clothing;Sarees;Available (120);https://images.unsplash.com/photo-1498661705887-3778d9ecb4ff?ixlib=rb-0.3.5&s=f51f276113011f5dc3020416e13e5cb6&auto=format&fit=crop&w=550&q=80;Sarees;usa;SAREES;active
18;Clothing;Blouses;Available (120);https://images.unsplash.com/photo-1463820048975-a3b50e6d991d?ixlib=rb-0.3.5&s=6cfe9709e4c45ab8b4f875c84a2746ed&auto=format&fit=crop&w=500&q=80;Blouses;usa;BLOUSES;active
19;Clothing;"Lehenga; Ghagra";Available (120);https://images.unsplash.com/photo-1509695507497-903c140c43b0?ixlib=rb-0.3.5&s=f695afbce9bdbe2c16c7a7b3875588f2&auto=format&fit=crop&w=500&q=80;Lehenga;usa;LEHENGA;active
20;Clothing;Ghagra;Available (120);https://images.unsplash.com/photo-1499013819532-e4ff41b00669?ixlib=rb-0.3.5&s=976794f0c5d7239a69cfacb3d3f86c3b&auto=format&fit=crop&w=500&q=80;Ghagra;usa;GAGRA;active
21;Clothing;Skirts;Available (120);https://images.unsplash.com/photo-1499013819532-e4ff41b00669?ixlib=rb-0.3.5&s=976794f0c5d7239a69cfacb3d3f86c3b&auto=format&fit=crop&w=500&q=80;Skirts;usa;SKIRTS;active
22;Clothing;Anarkali;Available (120);https://images.unsplash.com/photo-1459204195697-4de88edf3ab1?ixlib=rb-0.3.5&s=11e2623667499f18828709399500a7c1&auto=format&fit=crop&w=900&q=80;Anarkali;usa;ANARKALI;active
23;Clothing;Kurti;Available (120);https://images.unsplash.com/photo-1459204195697-4de88edf3ab1?ixlib=rb-0.3.5&s=11e2623667499f18828709399500a7c1&auto=format&fit=crop&w=900&q=80;Kurti;usa;KURTI;active
24;Clothing;Duppatta;Available (120);https://images.unsplash.com/photo-1459204195697-4de88edf3ab1?ixlib=rb-0.3.5&s=11e2623667499f18828709399500a7c1&auto=format&fit=crop&w=900&q=80;Duppatta;usa;DUPATTA;active
25;Footwear;Athletic Shoes;Available (120);https://images.unsplash.com/photo-1509695507497-903c140c43b0?ixlib=rb-0.3.5&s=f695afbce9bdbe2c16c7a7b3875588f2&auto=format&fit=crop&w=500&q=80;Athletic Shoes;usa;ATHLETIC-SHOES;active
26;Footwear;Casual Shoes;Available (120);https://images.unsplash.com/photo-1499013819532-e4ff41b00669?ixlib=rb-0.3.5&s=976794f0c5d7239a69cfacb3d3f86c3b&auto=format&fit=crop&w=500&q=80;Casual Shoes;usa;CASUAL-SHOES;active
27;Footwear;Sandals;Available (120);https://images.unsplash.com/photo-1459204195697-4de88edf3ab1?ixlib=rb-0.3.5&s=11e2623667499f18828709399500a7c1&auto=format&fit=crop&w=900&q=80;Sandals;usa;SANDALS;active
28;Footwear;Boots;Available (120);https://images.unsplash.com/photo-1459204195697-4de88edf3ab1?ixlib=rb-0.3.5&s=11e2623667499f18828709399500a7c1&auto=format&fit=crop&w=900&q=80;Boots;usa;BOOTS;active
29;Footwear;Heels;Available (120);https://images.unsplash.com/photo-1459204195697-4de88edf3ab1?ixlib=rb-0.3.5&s=11e2623667499f18828709399500a7c1&auto=format&fit=crop&w=900&q=80;Heels;usa;HEALS;active
30;Footwear;Party Cheppal;Available (120);https://images.unsplash.com/photo-1459204195697-4de88edf3ab1?ixlib=rb-0.3.5&s=11e2623667499f18828709399500a7c1&auto=format&fit=crop&w=900&q=80;Party Cheppal;usa;PARTY-HEALS;active
31;Jewelry;Necklaces;Available (120);https://images.unsplash.com/photo-1498661705887-3778d9ecb4ff?ixlib=rb-0.3.5&s=f51f276113011f5dc3020416e13e5cb6&auto=format&fit=crop&w=550&q=80;Necklaces;usa;NECKLACES;active
32;Jewelry;Necklace Sets;Available (120);https://images.unsplash.com/photo-1463820048975-a3b50e6d991d?ixlib=rb-0.3.5&s=6cfe9709e4c45ab8b4f875c84a2746ed&auto=format&fit=crop&w=500&q=80;Necklace Sets;usa;NECKSETS;active
33;Jewelry;Earrings;Available (120);https://images.unsplash.com/photo-1509695507497-903c140c43b0?ixlib=rb-0.3.5&s=f695afbce9bdbe2c16c7a7b3875588f2&auto=format&fit=crop&w=500&q=80;Earrings;usa;EARRINGS;active
34;Jewelry;Rings;Available (120);https://images.unsplash.com/photo-1499013819532-e4ff41b00669?ixlib=rb-0.3.5&s=976794f0c5d7239a69cfacb3d3f86c3b&auto=format&fit=crop&w=500&q=80;Rings;usa;RINGS;active
35;Jewelry;"Bangles; Bracelets";Available (120);https://images.unsplash.com/photo-1459204195697-4de88edf3ab1?ixlib=rb-0.3.5&s=11e2623667499f18828709399500a7c1&auto=format&fit=crop&w=900&q=80;"Bangles; Bracelets";usa;BANGLETS;active
36;Jewelry;Other Jewelry;Available (120);https://images.unsplash.com/photo-1459204195697-4de88edf3ab1?ixlib=rb-0.3.5&s=11e2623667499f18828709399500a7c1&auto=format&fit=crop&w=900&q=80;Other Jewelry;usa;ANKLETS;active
37;Accesories;Hats;Available (120);https://images.unsplash.com/photo-1498661705887-3778d9ecb4ff?ixlib=rb-0.3.5&s=f51f276113011f5dc3020416e13e5cb6&auto=format&fit=crop&w=550&q=80;Hats;usa;HATS;active
38;Accesories;Sunglasses;Available (120);https://images.unsplash.com/photo-1463820048975-a3b50e6d991d?ixlib=rb-0.3.5&s=6cfe9709e4c45ab8b4f875c84a2746ed&auto=format&fit=crop&w=500&q=80;Sunglasses;usa;SUNGLASS;active
39;Accesories;Socks;Available (120);https://images.unsplash.com/photo-1509695507497-903c140c43b0?ixlib=rb-0.3.5&s=f695afbce9bdbe2c16c7a7b3875588f2&auto=format&fit=crop&w=500&q=80;Socks;usa;SOCKS;active
40;Accesories;Belts;Available (120);https://images.unsplash.com/photo-1499013819532-e4ff41b00669?ixlib=rb-0.3.5&s=976794f0c5d7239a69cfacb3d3f86c3b&auto=format&fit=crop&w=500&q=80;Belts;usa;BELTS;active
41;Accesories;Hair Accesories;Available (120);https://images.unsplash.com/photo-1459204195697-4de88edf3ab1?ixlib=rb-0.3.5&s=11e2623667499f18828709399500a7c1&auto=format&fit=crop&w=900&q=80;Hair Accesories;usa;HAIRACCESS;active
42;Accesories;Handbags;Available (120);https://images.unsplash.com/photo-1459204195697-4de88edf3ab1?ixlib=rb-0.3.5&s=11e2623667499f18828709399500a7c1&auto=format&fit=crop&w=900&q=80;Handbags;usa;HANDBAGS;active
